year,State,Population,Violent_Crime_Total,Murder_Nonnegligent_Manslaughter,Legacy_Rape,Revised_Rape,Robbery,Aggravated_Assault,State,Population,Property_Crime_Total,Burglary,Larceny_Theft,Motor_Vehicle_Theft,State,Population,Violent_Crime_Rate,Murder_Nonnegligent_Manslaughter_Rate,Legacy_Rape_Rate,Revised_Rape_Rate,Robbery_Rate,Aggravated_Assault_Rate,State,Population,Property_Crime_Rate,Burglary_Rate,Larceny_Theft_Rate,Motor_Vehicle_Theft_Rate
2007,Michigan,"10,071,822","53,765",661,"4,592",NA,"13,365","35,147",Michigan,"10,071,822","308,550","75,273","191,289","41,988",Michigan,"10,071,822",533.8,6.6,45.6,NA,132.7,349,Michigan,"10,071,822","3,063.5",747.4,"1,899.2",416.9
2007,Minnesota,"5,197,621","15,054",116,"1,873",NA,"4,770","8,295",Minnesota,"5,197,621","158,257","29,717","115,892","12,648",Minnesota,"5,197,621",289.6,2.2,36,NA,91.8,159.6,Minnesota,"5,197,621","3,044.8",571.7,"2,229.7",243.3
2007,Mississippi,"2,918,785","8,502",202,"1,033",NA,"2,896","4,371",Mississippi,"2,918,785","90,887","27,223","56,473","7,191",Mississippi,"2,918,785",291.3,6.9,35.4,NA,99.2,149.8,Mississippi,"2,918,785","3,113.9",932.7,"1,934.8",246.4
2007,Missouri,"5,878,415","32,962",367,"1,785",NA,"7,728","23,082",Missouri,"5,878,415","225,113","44,897","156,319","23,897",Missouri,"5,878,415",560.7,6.2,30.4,NA,131.5,392.7,Missouri,"5,878,415","3,829.5",763.8,"2,659.2",406.5
2007,Montana,"957,861","3,638",27,363,NA,233,"3,015",Montana,"957,861","27,837","3,476","22,315","2,046",Montana,"957,861",379.8,2.8,37.9,NA,24.3,314.8,Montana,"957,861","2,906.2",362.9,"2,329.7",213.6
2007,Nebraska,"1,774,571","5,524",71,550,NA,"1,115","3,788",Nebraska,"1,774,571","55,765","9,035","41,484","5,246",Nebraska,"1,774,571",311.3,4,31,NA,62.8,213.5,Nebraska,"1,774,571","3,142.4",509.1,"2,337.7",295.6
2007,Nevada,"2,565,382","19,365",193,"1,096",NA,"6,938","11,138",Nevada,"2,565,382","97,118","24,911","49,844","22,363",Nevada,"2,565,382",754.9,7.5,42.7,NA,270.4,434.2,Nevada,"2,565,382","3,785.7",971,"1,942.9",871.7
2007,New Hampshire,"1,315,828","1,896",12,357,NA,451,"1,076",New Hampshire,"1,315,828","26,394","5,074","19,909","1,411",New Hampshire,"1,315,828",144.1,0.9,27.1,NA,34.3,81.8,New Hampshire,"1,315,828","2,005.9",385.6,"1,513.0",107.2
2007,New Jersey,"8,685,920","28,544",381,"1,032",NA,"12,567","14,564",New Jersey,"8,685,920","192,338","37,234","133,145","21,959",New Jersey,"8,685,920",328.6,4.4,11.9,NA,144.7,167.7,New Jersey,"8,685,920","2,214.4",428.7,"1,532.9",252.8
2007,New Mexico,"1,969,915","13,311",183,"1,028",NA,"2,323","9,777",New Mexico,"1,969,915","75,168","20,823","45,442","8,903",New Mexico,"1,969,915",675.7,9.3,52.2,NA,117.9,496.3,New Mexico,"1,969,915","3,815.8","1,057.1","2,306.8",451.9
2007,New York,"19,297,729","79,962",805,"2,928",NA,"31,085","45,144",New York,"19,297,729","383,624","64,914","290,681","28,029",New York,"19,297,729",414.4,4.2,15.2,NA,161.1,233.9,New York,"19,297,729","1,987.9",336.4,"1,506.3",145.2
2007,North Carolina,"9,061,032","42,231",584,"2,386",NA,"13,534","25,727",North Carolina,"9,061,032","369,893","108,700","233,241","27,952",North Carolina,"9,061,032",466.1,6.4,26.3,NA,149.4,283.9,North Carolina,"9,061,032","4,082.2","1,199.6","2,574.1",308.5
2007,North Dakota,"639,715","1,343",17,252,NA,75,999,North Dakota,"639,715","12,796","2,314","9,500",982,North Dakota,"639,715",209.9,2.7,39.4,NA,11.7,156.2,North Dakota,"639,715","2,000.3",361.7,"1,485.0",153.5
2007,Ohio,"11,466,917","40,759",529,"4,661",NA,"18,351","17,218",Ohio,"11,466,917","397,681","99,049","264,677","33,955",Ohio,"11,466,917",355.4,4.6,40.6,NA,160,150.2,Ohio,"11,466,917","3,468.1",863.8,"2,308.2",296.1
2007,Oklahoma,"3,617,316","18,234",224,"1,565",NA,"3,392","13,053",Oklahoma,"3,617,316","128,714","34,367","80,747","13,600",Oklahoma,"3,617,316",504.1,6.2,43.3,NA,93.8,360.8,Oklahoma,"3,617,316","3,558.3",950.1,"2,232.2",376
2007,Oregon,"3,747,455","11,015",76,"1,276",NA,"2,864","6,799",Oregon,"3,747,455","132,773","22,979","95,157","14,637",Oregon,"3,747,455",293.9,2,34,NA,76.4,181.4,Oregon,"3,747,455","3,543.0",613.2,"2,539.2",390.6
2007,Pennsylvania,"12,432,792","51,806",725,"3,443",NA,"19,440","28,198",Pennsylvania,"12,432,792","293,850","56,091","211,248","26,511",Pennsylvania,"12,432,792",416.7,5.8,27.7,NA,156.4,226.8,Pennsylvania,"12,432,792","2,363.5",451.2,"1,699.1",213.2
2007,Rhode Island,"1,057,832","2,424",19,258,NA,760,"1,387",Rhode Island,"1,057,832","27,576","5,206","19,175","3,195",Rhode Island,"1,057,832",229.1,1.8,24.4,NA,71.8,131.1,Rhode Island,"1,057,832","2,606.8",492.1,"1,812.7",302
