year,State,Population,Violent_Crime_Total,Murder_Nonnegligent_Manslaughter,Legacy_Rape,Revised_Rape,Robbery,Aggravated_Assault,State,Population,Property_Crime_Total,Burglary,Larceny_Theft,Motor_Vehicle_Theft,State,Population,Violent_Crime_Rate,Murder_Nonnegligent_Manslaughter_Rate,Legacy_Rape_Rate,Revised_Rape_Rate,Robbery_Rate,Aggravated_Assault_Rate,State,Population,Property_Crime_Rate,Burglary_Rate,Larceny_Theft_Rate,Motor_Vehicle_Theft_Rate
2006,Alabama,"4,599,030","19,553",382,"1,646",NA,"7,062","10,463",Alabama,"4,599,030","181,249","44,780","121,451","15,018",Alabama,"4,599,030",425.2,8.3,35.8,NA,153.6,227.5,Alabama,"4,599,030","3,941.0",973.7,"2,640.8",326.5
2006,Alaska,"670,053","4,610",36,512,NA,600,"3,462",Alaska,"670,053","23,975","4,155","17,284","2,536",Alaska,"670,053",688,5.4,76.4,NA,89.5,516.7,Alaska,"670,053","3,578.1",620.1,"2,579.5",378.5
2006,Arizona,"6,166,318","33,456",533,"2,449",NA,"9,491","20,983",Arizona,"6,166,318","294,389","59,418","178,321","56,650",Arizona,"6,166,318",542.6,8.6,39.7,NA,153.9,340.3,Arizona,"6,166,318","4,774.1",963.6,"2,891.9",918.7
2006,Arkansas,"2,810,872","15,538",205,"1,325",NA,"2,749","11,259",Arkansas,"2,810,872","112,025","31,864","72,646","7,515",Arkansas,"2,810,872",552.8,7.3,47.1,NA,97.8,400.6,Arkansas,"2,810,872","3,985.4","1,133.6","2,584.5",267.4
2006,California,"36,457,549","194,483","2,486","9,235",NA,"71,142","111,620",California,"36,457,549","1,159,988","247,230","669,103","243,655",California,"36,457,549",533.5,6.8,25.3,NA,195.1,306.2,California,"36,457,549","3,181.7",678.1,"1,835.3",668.3
2006,Colorado,"4,753,377","18,794",171,"2,158",NA,"3,824","12,641",Colorado,"4,753,377","163,439","32,411","110,372","20,656",Colorado,"4,753,377",395.4,3.6,45.4,NA,80.4,265.9,Colorado,"4,753,377","3,438.4",681.9,"2,322.0",434.6
2006,Connecticut,"3,504,809","10,505",137,696,NA,"4,460","5,212",Connecticut,"3,504,809","90,638","15,583","64,765","10,290",Connecticut,"3,504,809",299.7,3.9,19.9,NA,127.3,148.7,Connecticut,"3,504,809","2,586.1",444.6,"1,847.9",293.6
2006,Delaware,"853,476","5,983",42,417,NA,"1,791","3,733",Delaware,"853,476","29,670","6,337","20,449","2,884",Delaware,"853,476",701,4.9,48.9,NA,209.8,437.4,Delaware,"853,476","3,476.4",742.5,"2,396.0",337.9
2006,District of Columbia,"581,530","8,772",169,185,NA,"3,829","4,589",District of Columbia,"581,530","27,064","3,835","15,908","7,321",District of Columbia,"581,530","1,508.4",29.1,31.8,NA,658.4,789.1,District of Columbia,"581,530","4,653.9",659.5,"2,735.5","1,258.9"
2006,Florida,"18,089,888","129,602","1,129","6,475",NA,"34,147","87,851",Florida,"18,089,888","721,101","170,873","473,774","76,454",Florida,"18,089,888",716.4,6.2,35.8,NA,188.8,485.6,Florida,"18,089,888","3,986.2",944.6,"2,619.0",422.6
2006,Georgia,"9,363,941","44,754",605,"2,169",NA,"15,511","26,469",Georgia,"9,363,941","362,712","85,140","234,445","43,127",Georgia,"9,363,941",477.9,6.5,23.2,NA,165.6,282.7,Georgia,"9,363,941","3,873.5",909.2,"2,503.7",460.6
2006,Hawaii,"1,285,498","3,608",21,353,NA,"1,144","2,090",Hawaii,"1,285,498","54,247","8,724","37,784","7,739",Hawaii,"1,285,498",280.7,1.6,27.5,NA,89,162.6,Hawaii,"1,285,498","4,219.9",678.6,"2,939.3",602
2006,Idaho,"1,466,465","3,666",35,611,NA,294,"2,726",Idaho,"1,466,465","35,135","7,545","25,154","2,436",Idaho,"1,466,465",250,2.4,41.7,NA,20,185.9,Idaho,"1,466,465","2,395.9",514.5,"1,715.3",166.1
2006,Illinois,"12,831,970","69,498",780,"4,078",NA,"23,782","40,858",Illinois,"12,831,970","387,478","77,259","272,578","37,641",Illinois,"12,831,970",541.6,6.1,31.8,NA,185.3,318.4,Illinois,"12,831,970","3,019.6",602.1,"2,124.2",293.3
2006,Indiana,"6,313,520","20,303",361,"1,811",NA,"7,175","10,956",Indiana,"6,313,520","217,783","45,538","150,655","21,590",Indiana,"6,313,520",321.6,5.7,28.7,NA,113.6,173.5,Indiana,"6,313,520","3,449.5",721.3,"2,386.2",342
2006,Iowa,"2,982,085","8,521",55,871,NA,"1,309","6,286",Iowa,"2,982,085","84,202","18,160","60,998","5,044",Iowa,"2,982,085",285.7,1.8,29.2,NA,43.9,210.8,Iowa,"2,982,085","2,823.6",609,"2,045.5",169.1
2006,Kansas,"2,764,075","11,960",125,"1,279",NA,"1,878","8,678",Kansas,"2,764,075","104,260","20,086","75,450","8,724",Kansas,"2,764,075",432.7,4.5,46.3,NA,67.9,314,Kansas,"2,764,075","3,772.0",726.7,"2,729.7",315.6
2006,Kentucky,"4,206,074","11,361",173,"1,312",NA,"3,850","6,026",Kentucky,"4,206,074","109,428","27,867","72,197","9,364",Kentucky,"4,206,074",270.1,4.1,31.2,NA,91.5,143.3,Kentucky,"4,206,074","2,601.7",662.5,"1,716.5",222.6
2006,Louisiana,"4,287,768","30,923",555,"1,587",NA,"5,928","22,853",Louisiana,"4,287,768","174,975","46,703","112,605","15,667",Louisiana,"4,287,768",721.2,12.9,37,NA,138.3,533,Louisiana,"4,287,768","4,080.8","1,089.2","2,626.2",365.4
2006,Maine,"1,321,574","1,533",23,341,NA,383,786,Maine,"1,321,574","33,658","6,846","25,465","1,347",Maine,"1,321,574",116,1.7,25.8,NA,29,59.5,Maine,"1,321,574","2,546.8",518,"1,926.9",101.9
2006,Maryland,"5,615,727","38,111",546,"1,178",NA,"14,376","22,011",Maryland,"5,615,727","195,484","37,459","127,502","30,523",Maryland,"5,615,727",678.6,9.7,21,NA,256,392,Maryland,"5,615,727","3,481.0",667,"2,270.4",543.5
2006,Massachusetts,"6,437,193","32,217",188,"1,771",NA,"8,080","22,178",Massachusetts,"6,437,193","153,943","35,243","100,725","17,975",Massachusetts,"6,437,193",500.5,2.9,27.5,NA,125.5,344.5,Massachusetts,"6,437,193","2,391.5",547.5,"1,564.7",279.2
2006,Michigan,"10,095,643","56,981",721,"5,347",NA,"14,229","36,684",Michigan,"10,095,643","325,594","76,313","199,183","50,098",Michigan,"10,095,643",564.4,7.1,53,NA,140.9,363.4,Michigan,"10,095,643","3,225.1",755.9,"1,973.0",496.2
2006,Minnesota,"5,167,101","16,042",126,"1,645",NA,"5,441","8,830",Minnesota,"5,167,101","159,276","30,306","115,693","13,277",Minnesota,"5,167,101",310.5,2.4,31.8,NA,105.3,170.9,Minnesota,"5,167,101","3,082.5",586.5,"2,239.0",257
2006,Mississippi,"2,910,540","9,076",231,"1,039",NA,"3,259","4,547",Mississippi,"2,910,540","92,853","27,117","57,406","8,330",Mississippi,"2,910,540",311.8,7.9,35.7,NA,112,156.2,Mississippi,"2,910,540","3,190.2",931.7,"1,972.3",286.2
2006,Missouri,"5,842,713","31,897",369,"1,764",NA,"7,597","22,167",Missouri,"5,842,713","224,007","44,734","153,874","25,399",Missouri,"5,842,713",545.9,6.3,30.2,NA,130,379.4,Missouri,"5,842,713","3,834.0",765.6,"2,633.6",434.7
2006,Montana,"944,632","3,564",33,348,NA,233,"2,950",Montana,"944,632","26,986","3,380","21,659","1,947",Montana,"944,632",377.3,3.5,36.8,NA,24.7,312.3,Montana,"944,632","2,856.8",357.8,"2,292.9",206.1
2006,Nebraska,"1,768,331","5,197",51,577,NA,"1,136","3,433",Nebraska,"1,768,331","59,411","9,535","44,710","5,166",Nebraska,"1,768,331",293.9,2.9,32.6,NA,64.2,194.1,Nebraska,"1,768,331","3,359.7",539.2,"2,528.4",292.1
2006,Nevada,"2,495,529","18,687",226,"1,092",NA,"7,038","10,331",Nevada,"2,495,529","102,338","24,902","50,429","27,007",Nevada,"2,495,529",748.8,9.1,43.8,NA,282,414,Nevada,"2,495,529","4,100.9",997.9,"2,020.8","1,082.2"
2006,New Hampshire,"1,314,895","1,785",13,295,NA,435,"1,042",New Hampshire,"1,314,895","26,060","4,395","20,179","1,486",New Hampshire,"1,314,895",138.8,1,22.4,NA,33.1,79.2,New Hampshire,"1,314,895","1,981.9",334.2,"1,534.6",113
2006,New Jersey,"8,724,560","30,550",427,"1,201",NA,"13,360","15,562",New Jersey,"8,724,560","198,820","39,384","134,687","24,749",New Jersey,"8,724,560",350.2,4.9,13.8,NA,153.1,178.4,New Jersey,"8,724,560","2,278.9",451.4,"1,543.8",283.7
2006,New Mexico,"1,954,599","12,797",134,"1,073",NA,"2,095","9,495",New Mexico,"1,954,599","76,000","20,906","45,864","9,230",New Mexico,"1,954,599",654.7,6.9,54.9,NA,107.2,485.8,New Mexico,"1,954,599","3,888.3","1,069.6","2,346.5",472.2
2006,New York,"19,306,183","84,016",922,"3,168",NA,"34,459","45,467",New York,"19,306,183","398,577","68,617","297,827","32,133",New York,"19,306,183",435.2,4.8,16.4,NA,178.5,235.5,New York,"19,306,183","2,064.5",355.4,"1,542.7",166.4
2006,North Carolina,"8,856,505","42,088",539,"2,495",NA,"13,468","25,586",North Carolina,"8,856,505","364,549","107,333","227,114","30,102",North Carolina,"8,856,505",475.2,6.1,28.2,NA,152.1,288.9,North Carolina,"8,856,505","4,116.2","1,211.9","2,564.4",339.9
2006,North Dakota,"635,867","1,255",14,241,NA,75,925,North Dakota,"635,867","13,359","2,601","9,672","1,086",North Dakota,"635,867",197.4,2.2,37.9,NA,11.8,145.5,North Dakota,"635,867","2,100.9",409,"1,521.1",170.8
2006,Ohio,"11,478,006","41,491",560,"4,770",NA,"19,418","16,743",Ohio,"11,478,006","423,334","105,639","279,718","37,977",Ohio,"11,478,006",361.5,4.9,41.6,NA,169.2,145.9,Ohio,"11,478,006","3,688.2",920.4,"2,437.0",330.9
2006,Oklahoma,"3,579,212","17,905",210,"1,488",NA,"3,145","13,062",Oklahoma,"3,579,212","129,728","34,437","81,853","13,438",Oklahoma,"3,579,212",500.2,5.9,41.6,NA,87.9,364.9,Oklahoma,"3,579,212","3,624.5",962.1,"2,286.9",375.4
2006,Oregon,"3,700,758","10,534",88,"1,219",NA,"2,711","6,516",Oregon,"3,700,758","137,858","24,324","98,897","14,637",Oregon,"3,700,758",284.6,2.4,32.9,NA,73.3,176.1,Oregon,"3,700,758","3,725.1",657.3,"2,672.3",395.5
2006,Pennsylvania,"12,440,621","55,028",741,"3,611",NA,"21,095","29,581",Pennsylvania,"12,440,621","304,589","57,739","217,142","29,708",Pennsylvania,"12,440,621",442.3,6,29,NA,169.6,237.8,Pennsylvania,"12,440,621","2,448.3",464.1,"1,745.4",238.8
2006,Rhode Island,"1,067,610","2,460",27,289,NA,740,"1,404",Rhode Island,"1,067,610","27,914","5,453","18,852","3,609",Rhode Island,"1,067,610",230.4,2.5,27.1,NA,69.3,131.5,Rhode Island,"1,067,610","2,614.6",510.8,"1,765.8",338
2006,South Carolina,"4,321,249","33,322",362,"1,834",NA,"5,902","25,224",South Carolina,"4,321,249","184,712","42,952","125,075","16,685",South Carolina,"4,321,249",771.1,8.4,42.4,NA,136.6,583.7,South Carolina,"4,321,249","4,274.5",994,"2,894.4",386.1
2006,South Dakota,"781,919","2,071",30,465,NA,158,"1,418",South Dakota,"781,919","13,812","3,024","9,954",834,South Dakota,"781,919",264.9,3.8,59.5,NA,20.2,181.3,South Dakota,"781,919","1,766.4",386.7,"1,273.0",106.7
2006,Tennessee,"6,038,803","46,043",419,"2,194",NA,"11,143","32,287",Tennessee,"6,038,803","249,860","63,024","164,183","22,653",Tennessee,"6,038,803",762.5,6.9,36.3,NA,184.5,534.7,Tennessee,"6,038,803","4,137.6","1,043.7","2,718.8",375.1
2006,Texas,"23,507,783","121,602","1,386","8,429",NA,"37,256","74,531",Texas,"23,507,783","959,846","215,710","648,711","95,425",Texas,"23,507,783",517.3,5.9,35.9,NA,158.5,317,Texas,"23,507,783","4,083.1",917.6,"2,759.6",405.9
2006,Utah,"2,550,063","5,771",51,891,NA,"1,242","3,587",Utah,"2,550,063","89,572","14,721","66,480","8,371",Utah,"2,550,063",226.3,2,34.9,NA,48.7,140.7,Utah,"2,550,063","3,512.5",577.3,"2,607.0",328.3
2006,Vermont,"623,908",905,14,173,NA,114,604,Vermont,"623,908","14,920","3,443","10,857",620,Vermont,"623,908",145.1,2.2,27.7,NA,18.3,96.8,Vermont,"623,908","2,391.4",551.8,"1,740.2",99.4
2006,Virginia,"7,642,884","21,683",403,"1,829",NA,"7,779","11,672",Virginia,"7,642,884","190,257","32,166","143,292","14,799",Virginia,"7,642,884",283.7,5.3,23.9,NA,101.8,152.7,Virginia,"7,642,884","2,489.3",420.9,"1,874.8",193.6
2006,Washington,"6,395,798","22,303",197,"2,748",NA,"6,424","12,934",Washington,"6,395,798","288,456","58,843","183,179","46,434",Washington,"6,395,798",348.7,3.1,43,NA,100.4,202.2,Washington,"6,395,798","4,510.1",920,"2,864.1",726
2006,West Virginia,"1,818,470","5,113",80,404,NA,853,"3,776",West Virginia,"1,818,470","47,941","11,579","32,305","4,057",West Virginia,"1,818,470",281.2,4.4,22.2,NA,46.9,207.6,West Virginia,"1,818,470","2,636.3",636.7,"1,776.5",223.1
2006,Wisconsin,"5,556,506","15,899",165,"1,233",NA,"5,564","8,937",Wisconsin,"5,556,506","156,748","27,038","115,682","14,028",Wisconsin,"5,556,506",286.1,3,22.2,NA,100.1,160.8,Wisconsin,"5,556,506","2,821.0",486.6,"2,081.9",252.5
2006,Wyoming,"515,004","1,307",13,151,NA,72,"1,071",Wyoming,"515,004","15,381","2,322","12,255",804,Wyoming,"515,004",253.8,2.5,29.3,NA,14,208,Wyoming,"515,004","2,986.6",450.9,"2,379.6",156.1
2006,United States-Total,"299,398,484","1,435,123","17,309","94,472",NA,"449,246","874,096",United States-Total,"299,398,484","10,019,601","2,194,993","6,626,363","1,198,245",United States-Total,"299,398,484",479.3,5.8,31.6,NA,150,292,United States-Total,"299,398,484","3,346.6",733.1,"2,213.2",400.2
