"","year","State","Population","Violent_Crime_Total","Murder_Nonnegligent_Manslaughter","Legacy_Rape","Revised_Rape","Robbery","Aggravated_Assault","State.1","Population.1","Property_Crime_Total","Burglary","Larceny_Theft","Motor_Vehicle_Theft","State.2","Population.2","Violent_Crime_Rate","Murder_Nonnegligent_Manslaughter_Rate","Legacy_Rape_Rate","Revised_Rape_Rate","Robbery_Rate","Aggravated_Assault_Rate","State.3","Population.3","Property_Crime_Rate","Burglary_Rate","Larceny_Theft_Rate","Motor_Vehicle_Theft_Rate"
"993",2013,"California","38,431,393","154,739","1,746","7,464","10,324","53,640","89,029","California","38,431,393","1,018,907","232,058","621,557","165,292","California","38,431,393","402.6",4.5,19.4,26.9,NA,NA,"California","38,431,393","2,651.2","603.8","1,617.3",NA
"994",2013,"Colorado","5,272,086","16,099","174","2,198","2,963","3,136","9,826","Colorado","5,272,086","139,974","25,075","102,375","12,524","Colorado","5,272,086","305.4",3.3,41.7,56.2,NA,NA,"Colorado","5,272,086","2,655.0","475.6","1,941.8",NA
"995",2013,"Connecticut","3,599,341","9,439","91","647","891","3,551","4,906","Connecticut","3,599,341","71,274","12,934","52,099","6,241","Connecticut","3,599,341","262.2",2.5,18,24.8,NA,NA,"Connecticut","3,599,341","1,980.2","359.3","1,447.5",NA
"996",2013,"Delaware","925,240","4,633","41","278","399","1,233","2,960","Delaware","925,240","29,001","6,299","21,347","1,355","Delaware","925,240","500.7",4.4,30,43.1,NA,"319.9","Delaware","925,240","3,134.4","680.8","2,307.2",NA
"997",2013,"District of Columbia","649,111","8,415","103","297","395","4,082","3,835","District of Columbia","649,111","31,097","3,316","24,547","3,234","District of Columbia","649,111","1,296.4",15.9,45.8,60.9,NA,NA,"District of Columbia","649,111","4,790.7","510.9","3,781.6",NA
"998",2013,"Florida","19,600,311","91,993","972","4,765","6,767","23,200","61,054","Florida","19,600,311","607,170","138,915","433,344","34,911","Florida","19,600,311","469.3",5,24.3,34.5,NA,NA,"Florida","19,600,311","3,097.8","708.7","2,210.9",NA
"999",2013,"Georgia","9,994,759","37,519","563","2,022","2,891","12,704","21,361","Georgia","9,994,759","339,808","83,459","229,190","27,159","Georgia","9,994,759","375.4",5.6,20.2,28.9,NA,NA,"Georgia","9,994,759","3,399.9","835","2,293.1",NA
"1000",2013,"Hawaii","1,408,987","3,585","32","366","508","934","2,111","Hawaii","1,408,987","45,266","7,777","32,928","4,561","Hawaii","1,408,987","254.4",2.3,26,36.1,NA,NA,"Hawaii","1,408,987","3,212.7","552","2,337.0",NA
"1001",2013,"Idaho","1,612,843","3,471","29","516","674","220","2,548","Idaho","1,612,843","30,230","6,693","21,999","1,538","Idaho","1,612,843","215.2",1.8,32,41.8,NA,NA,"Idaho","1,612,843","1,874.3","415","1,364.0",NA
"1002",2013,"Illinois","12,890,552","51,956","722","3,895","5,340","17,733","28,161","Illinois","12,890,552","296,048","59,093","216,059","20,896","Illinois","12,890,552","403.1",5.6,30.2,41.4,NA,NA,"Illinois","12,890,552","2,296.6","458.4","1,676.1",NA
