year,State,Population,Violent_Crime_Total,Murder_Nonnegligent_Manslaughter,Legacy_Rape,Revised_Rape,Robbery,Aggravated_Assault,State,Population,Property_Crime_Total,Burglary,Larceny_Theft,Motor_Vehicle_Theft,State,Population,Violent_Crime_Rate,Murder_Nonnegligent_Manslaughter_Rate,Legacy_Rape_Rate,Revised_Rape_Rate,Robbery_Rate,Aggravated_Assault_Rate,State,Population,Property_Crime_Rate,Burglary_Rate,Larceny_Theft_Rate,Motor_Vehicle_Theft_Rate
2001,Alabama,"4,468,912","19,582",379,"1,369",NA,"5,584","12,250",Alabama,"4,468,912","173,253","40,642","119,992","12,619",Alabama,"4,468,912",438.2,8.5,30.6,NA,125,274.1,Alabama,"4,468,912","3,876.8",909.4,"2,685.0",282.4
2001,Alaska,"633,630","3,735",39,501,NA,514,"2,681",Alaska,"633,630","23,160","3,847","16,695","2,618",Alaska,"633,630",589.5,6.2,79.1,NA,81.1,423.1,Alaska,"633,630","3,655.1",607.1,"2,634.8",413.2
2001,Arizona,"5,306,966","28,675",400,"1,518",NA,"8,868","17,889",Arizona,"5,306,966","293,874","54,821","186,850","52,203",Arizona,"5,306,966",540.3,7.5,28.6,NA,167.1,337.1,Arizona,"5,306,966","5,537.5","1,033.0","3,520.8",983.7
2001,Arkansas,"2,694,698","12,190",148,892,NA,"2,181","8,969",Arkansas,"2,694,698","99,106","22,196","69,590","7,320",Arkansas,"2,694,698",452.4,5.5,33.1,NA,80.9,332.8,Arkansas,"2,694,698","3,677.8",823.7,"2,582.5",271.6
2001,California,"34,600,463","212,867","2,206","9,960",NA,"64,614","136,087",California,"34,600,463","1,134,189","232,273","697,739","204,177",California,"34,600,463",615.2,6.4,28.8,NA,186.7,393.3,California,"34,600,463","3,278.0",671.3,"2,016.6",590.1
2001,Colorado,"4,430,989","15,492",158,"1,930",NA,"3,555","9,849",Colorado,"4,430,989","170,887","28,533","121,360","20,994",Colorado,"4,430,989",349.6,3.6,43.6,NA,80.2,222.3,Colorado,"4,430,989","3,856.6",643.9,"2,738.9",473.8
2001,Connecticut,"3,434,602","11,492",105,639,NA,"4,183","6,565",Connecticut,"3,434,602","95,299","17,159","65,762","12,378",Connecticut,"3,434,602",334.6,3.1,18.6,NA,121.8,191.1,Connecticut,"3,434,602","2,774.7",499.6,"1,914.7",360.4
2001,Delaware,"796,599","4,868",23,420,NA,"1,156","3,269",Delaware,"796,599","27,399","5,144","19,476","2,779",Delaware,"796,599",611.1,2.9,52.7,NA,145.1,410.4,Delaware,"796,599","3,439.5",645.7,"2,444.9",348.9
2001,District of Columbia,"573,822","9,195",231,181,NA,"3,780","5,003",District of Columbia,"573,822","35,232","4,949","22,313","7,970",District of Columbia,"573,822","1,602.4",40.3,31.5,NA,658.7,871.9,District of Columbia,"573,822","6,139.9",862.5,"3,888.5","1,388.9"
2001,Florida,"16,373,330","130,713",874,"6,641",NA,"32,867","90,331",Florida,"16,373,330","782,517","176,052","516,548","89,917",Florida,"16,373,330",798.3,5.3,40.6,NA,200.7,551.7,Florida,"16,373,330","4,779.2","1,075.2","3,154.8",549.2
2001,Georgia,"8,405,677","41,671",598,"2,180",NA,"14,402","24,491",Georgia,"8,405,677","347,872","71,799","238,484","37,589",Georgia,"8,405,677",495.7,7.1,25.9,NA,171.3,291.4,Georgia,"8,405,677","4,138.5",854.2,"2,837.2",447.2
2001,Hawaii,"1,227,024","3,117",32,409,NA,"1,142","1,534",Hawaii,"1,227,024","62,830","11,162","44,925","6,743",Hawaii,"1,227,024",254,2.6,33.3,NA,93.1,125,Hawaii,"1,227,024","5,120.5",909.7,"3,661.3",549.5
2001,Idaho,"1,320,585","3,211",30,425,NA,245,"2,511",Idaho,"1,320,585","38,181","7,507","28,285","2,389",Idaho,"1,320,585",243.1,2.3,32.2,NA,18.6,190.1,Idaho,"1,320,585","2,891.2",568.5,"2,141.9",180.9
2001,Illinois,"12,520,227","79,270",982,"4,010",NA,"24,931","49,347",Illinois,"12,520,227","434,648","79,158","306,757","48,733",Illinois,"12,520,227",633.1,7.8,32,NA,199.1,394.1,Illinois,"12,520,227","3,471.6",632.2,"2,450.1",389.2
2001,Indiana,"6,126,743","22,734",413,"1,716",NA,"7,171","13,434",Indiana,"6,126,743","211,548","42,758","147,291","21,499",Indiana,"6,126,743",371.1,6.7,28,NA,117,219.3,Indiana,"6,126,743","3,452.9",697.9,"2,404.1",350.9
2001,Iowa,"2,931,967","7,865",50,649,NA,"1,154","6,012",Iowa,"2,931,967","88,634","16,885","66,244","5,505",Iowa,"2,931,967",268.2,1.7,22.1,NA,39.4,205.1,Iowa,"2,931,967","3,023.0",575.9,"2,259.4",187.8
2001,Kansas,"2,702,125","10,909",92,945,NA,"2,423","7,449",Kansas,"2,702,125","105,537","20,514","77,038","7,985",Kansas,"2,702,125",403.7,3.4,35,NA,89.7,275.7,Kansas,"2,702,125","3,905.7",759.2,"2,851.0",295.5
2001,Kentucky,"4,068,816","10,510",181,"1,051",NA,"3,269","6,009",Kentucky,"4,068,816","107,356","26,964","71,448","8,944",Kentucky,"4,068,816",258.3,4.4,25.8,NA,80.3,147.7,Kentucky,"4,068,816","2,638.5",662.7,"1,756.0",219.8
2001,Louisiana,"4,470,368","30,678",501,"1,403",NA,"7,864","20,910",Louisiana,"4,470,368","207,693","46,451","139,555","21,687",Louisiana,"4,470,368",686.3,11.2,31.4,NA,175.9,467.7,Louisiana,"4,470,368","4,646.0","1,039.1","3,121.8",485.1
2001,Maine,"1,284,470","1,435",19,326,NA,264,826,Maine,"1,284,470","33,154","6,898","24,585","1,671",Maine,"1,284,470",111.7,1.5,25.4,NA,20.6,64.3,Maine,"1,284,470","2,581.1",537,"1,914.0",130.1
2001,Maryland,"5,386,079","42,088",446,"1,449",NA,"13,525","26,668",Maryland,"5,386,079","219,512","41,553","145,934","32,025",Maryland,"5,386,079",781.4,8.3,26.9,NA,251.1,495.1,Maryland,"5,386,079","4,075.5",771.5,"2,709.5",594.6
2001,Massachusetts,"6,401,164","30,585",143,"1,856",NA,"6,476","22,110",Massachusetts,"6,401,164","167,079","32,430","106,821","27,828",Massachusetts,"6,401,164",477.8,2.2,29,NA,101.2,345.4,Massachusetts,"6,401,164","2,610.1",506.6,"1,668.8",434.7
2001,Michigan,"10,006,266","55,424",672,"5,264",NA,"12,937","36,551",Michigan,"10,006,266","352,353","72,038","226,708","53,607",Michigan,"10,006,266",553.9,6.7,52.6,NA,129.3,365.3,Michigan,"10,006,266","3,521.3",719.9,"2,265.7",535.7
2001,Minnesota,"4,984,535","13,145",119,"2,236",NA,"3,758","7,032",Minnesota,"4,984,535","165,046","25,496","124,519","15,031",Minnesota,"4,984,535",263.7,2.4,44.9,NA,75.4,141.1,Minnesota,"4,984,535","3,311.2",511.5,"2,498.1",301.6
2001,Mississippi,"2,859,733","10,006",282,"1,147",NA,"3,294","5,283",Mississippi,"2,859,733","109,609","29,821","70,315","9,473",Mississippi,"2,859,733",349.9,9.9,40.1,NA,115.2,184.7,Mississippi,"2,859,733","3,832.8","1,042.8","2,458.8",331.3
2001,Missouri,"5,637,309","30,472",372,"1,383",NA,"7,771","20,946",Missouri,"5,637,309","238,411","42,977","167,420","28,014",Missouri,"5,637,309",540.5,6.6,24.5,NA,137.8,371.6,Missouri,"5,637,309","4,229.2",762.4,"2,969.9",496.9
2001,Montana,"905,382","3,187",34,188,NA,230,"2,735",Montana,"905,382","30,175","3,670","24,684","1,821",Montana,"905,382",352,3.8,20.8,NA,25.4,302.1,Montana,"905,382","3,332.8",405.4,"2,726.4",201.1
2001,Nebraska,"1,720,039","5,214",43,431,NA,"1,128","3,612",Nebraska,"1,720,039","68,963","9,760","52,713","6,490",Nebraska,"1,720,039",303.1,2.5,25.1,NA,65.6,210,Nebraska,"1,720,039","4,009.4",567.4,"3,064.6",377.3
2001,Nevada,"2,097,722","12,359",180,883,NA,"4,932","6,364",Nevada,"2,097,722","77,486","17,711","45,073","14,702",Nevada,"2,097,722",589.2,8.6,42.1,NA,235.1,303.4,Nevada,"2,097,722","3,693.8",844.3,"2,148.7",700.9
2001,New Hampshire,"1,259,359","2,144",17,458,NA,445,"1,224",New Hampshire,"1,259,359","27,089","4,889","20,060","2,140",New Hampshire,"1,259,359",170.2,1.3,36.4,NA,35.3,97.2,New Hampshire,"1,259,359","2,151.0",388.2,"1,592.9",169.9
2001,New Jersey,"8,511,116","33,094",336,"1,278",NA,"14,110","17,370",New Jersey,"8,511,116","240,551","46,812","156,031","37,708",New Jersey,"8,511,116",388.8,3.9,15,NA,165.8,204.1,New Jersey,"8,511,116","2,826.3",550,"1,833.3",443
2001,New Mexico,"1,830,935","14,288",99,850,NA,"2,695","10,644",New Mexico,"1,830,935","83,095","19,552","56,406","7,137",New Mexico,"1,830,935",780.4,5.4,46.4,NA,147.2,581.3,New Mexico,"1,830,935","4,538.4","1,067.9","3,080.7",389.8
2001,New York,"19,084,350","98,022",960,"3,546",NA,"36,555","56,961",New York,"19,084,350","458,003","80,400","329,316","48,287",New York,"19,084,350",513.6,5,18.6,NA,191.5,298.5,New York,"19,084,350","2,399.9",421.3,"1,725.6",253
2001,North Carolina,"8,206,105","40,465",505,"2,083",NA,"13,304","24,573",North Carolina,"8,206,105","363,777","101,889","237,241","24,647",North Carolina,"8,206,105",493.1,6.2,25.4,NA,162.1,299.4,North Carolina,"8,206,105","4,433.0","1,241.6","2,891.0",300.3
2001,North Dakota,"636,550",505,7,164,NA,60,274,North Dakota,"636,550","14,834","2,165","11,583","1,086",North Dakota,"636,550",79.3,1.1,25.8,NA,9.4,43,North Dakota,"636,550","2,330.4",340.1,"1,819.7",170.6
2001,Ohio,"11,389,785","40,023",452,"4,466",NA,"17,199","17,906",Ohio,"11,389,785","435,115","96,910","295,976","42,229",Ohio,"11,389,785",351.4,4,39.2,NA,151,157.2,Ohio,"11,389,785","3,820.2",850.9,"2,598.6",370.8
2001,Oklahoma,"3,469,577","17,726",185,"1,486",NA,"2,746","13,309",Oklahoma,"3,469,577","141,679","34,573","94,537","12,569",Oklahoma,"3,469,577",510.9,5.3,42.8,NA,79.1,383.6,Oklahoma,"3,469,577","4,083.5",996.5,"2,724.7",362.3
2001,Oregon,"3,473,441","10,650",84,"1,174",NA,"2,749","6,643",Oregon,"3,473,441","164,524","26,648","123,034","14,842",Oregon,"3,473,441",306.6,2.4,33.8,NA,79.1,191.3,Oregon,"3,473,441","4,736.6",767.2,"3,542.1",427.3
2001,Pennsylvania,"12,303,104","50,432",651,"3,467",NA,"17,500","28,814",Pennsylvania,"12,303,104","313,408","54,345","223,350","35,713",Pennsylvania,"12,303,104",409.9,5.3,28.2,NA,142.2,234.2,Pennsylvania,"12,303,104","2,547.4",441.7,"1,815.4",290.3
2001,Rhode Island,"1,059,659","3,278",39,416,NA,986,"1,837",Rhode Island,"1,059,659","35,742","6,824","23,875","5,043",Rhode Island,"1,059,659",309.3,3.7,39.3,NA,93,173.4,Rhode Island,"1,059,659","3,373.0",644,"2,253.1",475.9
2001,South Carolina,"4,062,125","33,114",330,"1,769",NA,"5,987","25,028",South Carolina,"4,062,125","186,054","42,611","126,742","16,701",South Carolina,"4,062,125",815.2,8.1,43.5,NA,147.4,616.1,South Carolina,"4,062,125","4,580.2","1,049.0","3,120.1",411.1
2001,South Dakota,"758,324","1,171",7,351,NA,103,710,South Dakota,"758,324","16,473","3,087","12,571",815,South Dakota,"758,324",154.4,0.9,46.3,NA,13.6,93.6,South Dakota,"758,324","2,172.3",407.1,"1,657.7",107.5
2001,Tennessee,"5,749,398","42,776",423,"2,196",NA,"10,219","29,938",Tennessee,"5,749,398","252,992","59,705","165,015","28,272",Tennessee,"5,749,398",744,7.4,38.2,NA,177.7,520.7,Tennessee,"5,749,398","4,400.3","1,038.5","2,870.1",491.7
2001,Texas,"21,370,983","122,155","1,332","8,169",NA,"35,348","77,306",Texas,"21,370,983","976,654","204,362","669,625","102,667",Texas,"21,370,983",571.6,6.2,38.2,NA,165.4,361.7,Texas,"21,370,983","4,570.0",956.3,"3,133.3",480.4
2001,Utah,"2,278,712","5,314",67,896,NA,"1,197","3,154",Utah,"2,278,712","90,993","13,804","70,676","6,513",Utah,"2,278,712",233.2,2.9,39.3,NA,52.5,138.4,Utah,"2,278,712","3,993.2",605.8,"3,101.6",285.8
2001,Vermont,"612,978",644,7,107,NA,107,423,Vermont,"612,978","16,334","3,150","12,426",758,Vermont,"612,978",105.1,1.1,17.5,NA,17.5,69,Vermont,"612,978","2,664.7",513.9,"2,027.2",123.7
2001,Virginia,"7,196,750","20,939",364,"1,770",NA,"6,860","11,945",Virginia,"7,196,750","207,506","31,604","157,060","18,842",Virginia,"7,196,750",291,5.1,24.6,NA,95.3,166,Virginia,"7,196,750","2,883.3",439.1,"2,182.4",261.8
2001,Washington,"5,993,390","21,258",179,"2,600",NA,"5,934","12,545",Washington,"5,993,390","287,234","53,024","195,133","39,077",Washington,"5,993,390",354.7,3,43.4,NA,99,209.3,Washington,"5,993,390","4,792.5",884.7,"3,255.8",652
2001,West Virginia,"1,800,975","5,035",40,320,NA,707,"3,968",West Virginia,"1,800,975","41,085","9,601","28,268","3,216",West Virginia,"1,800,975",279.6,2.2,17.8,NA,39.3,220.3,West Virginia,"1,800,975","2,281.3",533.1,"1,569.6",178.6
2001,Wisconsin,"5,405,947","12,486",192,"1,142",NA,"4,444","6,708",Wisconsin,"5,405,947","166,924","26,927","125,275","14,722",Wisconsin,"5,405,947",231,3.6,21.1,NA,82.2,124.1,Wisconsin,"5,405,947","3,087.8",498.1,"2,317.4",272.3
2001,Wyoming,"493,754","1,272",9,153,NA,84,"1,026",Wyoming,"493,754","16,120","2,481","12,943",696,Wyoming,"493,754",257.6,1.8,31,NA,17,207.8,Wyoming,"493,754","3,264.8",502.5,"2,621.3",141
2001,United States-Total,"285,317,559","1,439,480","16,037","90,863",NA,"423,557","909,023",United States-Total,"285,317,559","10,437,189","2,116,531","7,092,267","1,228,391",United States-Total,"285,317,559",504.5,5.6,31.8,NA,148.5,318.6,United States-Total,"285,317,559","3,658.1",741.8,"2,485.7",430.5
